param_classifier__n_estimators,param_classifier__max_depth,param_classifier__min_samples_leaf,mean_test_score,std_test_score,rank_test_score
100,20,1,0.9987202882048312,5.031639025876444e-06,1
100,30,1,0.9984905102100285,1.3417693000172815e-05,2
100,30,5,0.9983563332634309,2.3481092949639848e-05,3
100,20,5,0.9983294978148507,3.0189980344597078e-05,4
